row_id;order_id;order_date;ship_date;ship_mode;customer_id;product_id
1;CA-2017-152156;2022-02-06;2022-02-09;Second Class;CG-12520;FUR-BO-10001798
2;CA-2017-152156;2022-02-06;2022-02-09;Second Class;CG-12520;FUR-CH-10000454
3;CA-2017-138688;2021-09-10;2021-09-14;Second Class;DV-13045;OFF-LA-10000240
4;US-2016-108966;2021-01-09;2021-01-16;Standard Class;SO-20335;FUR-TA-10000577
5;US-2016-108966;2021-01-09;2021-01-16;Standard Class;SO-20335;OFF-ST-10000760
6;CA-2015-115812;2019-09-07;2019-09-12;Standard Class;BH-11710;FUR-FU-10001487
7;CA-2015-115812;2019-09-07;2019-09-12;Standard Class;BH-11710;OFF-AR-10002833
8;CA-2015-115812;2019-09-07;2019-09-12;Standard Class;BH-11710;TEC-PH-10002275
9;CA-2015-115812;2019-09-07;2019-09-12;Standard Class;BH-11710;OFF-BI-10003910
10;CA-2015-115812;2019-09-07;2019-09-12;Standard Class;BH-11710;OFF-AP-10002892
11;CA-2015-115812;2019-09-07;2019-09-12;Standard Class;BH-11710;FUR-TA-10001539
12;CA-2015-115812;2019-09-07;2019-09-12;Standard Class;BH-11710;TEC-PH-10002033
13;CA-2018-114412;2022-07-14;2022-07-19;Standard Class;AA-10480;OFF-PA-10002365
14;CA-2017-161389;2022-03-05;2022-03-10;Standard Class;IM-15070;OFF-BI-10003656
15;US-2016-118983;2021-02-20;2021-02-24;Standard Class;HP-14815;OFF-AP-10002311
16;US-2016-118983;2021-02-20;2021-02-24;Standard Class;HP-14815;OFF-BI-10000756
17;CA-2015-105893;2020-02-09;2020-02-16;Standard Class;PK-19075;OFF-ST-10004186
18;CA-2015-167164;2019-08-11;2019-08-13;Second Class;;OFF-ST-10000107
19;CA-2015-143336;2019-11-25;2019-11-30;Second Class;ZD-21925;OFF-AR-10003056
20;CA-2015-143336;2019-11-25;2019-11-30;Second Class;ZD-21925;TEC-PH-10001949
21;CA-2015-143336;2019-11-25;2019-11-30;Second Class;ZD-21925;OFF-BI-10002215
